	log_likelihood
122	3803.815185546875
123	3803.705078125
124	3803.85986328125
125	3803.83154296875
126	3803.87109375
127	3803.77685546875
128	3803.771484375
129	3803.839111328125
130	3803.758544921875
131	3803.800048828125
132	3803.84326171875
133	3803.653076171875
134	3803.85888671875
135	3803.66064453125
136	3803.83544921875
137	3803.82421875
138	3803.818359375
139	3803.73974609375
140	3803.739013671875
141	3803.80224609375
142	3803.76708984375
143	3803.852294921875
144	3803.850341796875
145	3803.741455078125
146	3803.822265625
147	3803.883544921875
148	3803.830810546875
149	3803.826904296875
150	3803.809326171875
151	3803.85302734375
152	3803.919921875
153	3803.67041015625
154	3803.80859375
155	3803.844970703125
156	3803.690185546875
157	3803.80908203125
158	3803.90380859375
159	3803.97705078125
160	3803.77880859375
161	3803.7890625
162	3803.830078125
163	3803.76953125
164	3803.6875
165	3803.83837890625
166	3803.786376953125
167	3803.84765625
168	3803.83447265625
169	3803.789794921875
170	3803.71533203125
171	3803.876953125
172	3803.868408203125
173	3803.74462890625
174	3803.74365234375
175	3803.753173828125
176	3803.792236328125
177	3803.794921875
178	3803.835205078125
179	3803.752685546875
180	3803.85400390625
181	3803.79833984375
182	3803.856689453125
183	3803.757080078125
184	3803.833984375
185	3803.78564453125
186	3803.77197265625
187	3803.83056640625
188	3803.86962890625
189	3803.76025390625
190	3803.828125
191	3803.8515625
192	3803.69580078125
193	3803.81689453125
194	3803.776611328125
195	3803.77734375
196	3803.80224609375
197	3804.07568359375
198	3803.81787109375
199	3803.733154296875
200	3803.81640625
201	3803.81103515625
202	3803.606201171875
203	3803.947265625
204	3803.856689453125
205	3803.844482421875
206	3803.828857421875
207	3803.76904296875
208	3803.824951171875
209	3803.994140625
210	3803.656982421875
211	3803.837890625
212	3803.821533203125
213	3803.909423828125
214	3803.803466796875
215	3803.76953125
216	3803.751220703125
217	3803.76513671875
218	3803.875
219	3803.805419921875
220	3803.844482421875
221	3803.70458984375
222	3804.048828125
223	3803.79736328125
224	3803.912109375
225	3803.77978515625
226	3803.841796875
227	3803.798828125
228	3803.68994140625
229	3803.753173828125
230	3803.8046875
231	3803.858154296875
232	3803.907470703125
233	3803.983154296875
234	3803.736328125
235	3803.790283203125
236	3803.371826171875
237	3803.889892578125
238	3803.822265625
239	3803.760986328125
240	3803.803955078125
241	3803.850341796875
242	3803.80517578125
243	3803.794189453125
244	3803.833251953125
245	3803.809326171875
246	3803.774658203125
247	3803.880859375
248	3803.78369140625
249	3803.86865234375
250	3803.7734375
251	3803.928466796875
