	elbo	tsne_cost
156	938.9845581054688	979.6249389648438
157	951.9307861328125	986.9692993164062
158	948.053466796875	993.762939453125
159	908.068115234375	1000.1073608398438
160	963.5545654296875	1004.3333129882812
161	946.0907592773438	1010.5728759765625
162	962.4948120117188	1018.5635986328125
163	1026.564208984375	1024.1448974609375
164	990.7184448242188	1030.172607421875
165	896.7091064453125	1037.5107421875
166	929.1171264648438	1042.07421875
167	925.904052734375	1049.5338134765625
168	888.89501953125	1056.0748291015625
169	936.395263671875	1062.052490234375
170	917.7601928710938	1068.4794921875
171	936.3573608398438	1072.9114990234375
172	954.9750366210938	1080.3104248046875
173	958.0758666992188	1085.6256103515625
174	1002.3209228515625	1092.93359375
175	1011.2520751953125	1097.8841552734375
176	987.0957641601562	1104.7100830078125
177	1080.907958984375	1111.755615234375
178	1035.0718994140625	1117.9915771484375
179	1035.9666748046875	1124.615966796875
180	1039.7691650390625	1130.4779052734375
181	938.027587890625	1135.256591796875
182	888.42236328125	1141.975341796875
183	916.231689453125	1147.1158447265625
184	924.7907104492188	1154.2919921875
185	926.8326416015625	1161.3583984375
186	989.6544189453125	1167.029541015625
187	964.7247924804688	1173.0513916015625
188	938.5447387695312	1178.7783203125
189	982.8409423828125	1185.401611328125
190	952.0504150390625	1192.4840087890625
191	1020.4452514648438	1199.0718994140625
192	1046.2528076171875	1204.1527099609375
193	937.6801147460938	1210.9849853515625
194	1008.9161376953125	1216.8656005859375
195	1032.890625	1222.5513916015625
196	957.7322387695312	1229.5557861328125
197	1004.8890991210938	1235.2269287109375
198	1017.0687255859375	1241.42333984375
199	978.4805297851562	1247.72607421875
200	919.1246948242188	1254.2347412109375
201	1015.9539184570312	1259.4566650390625
202	1026.857421875	1266.6650390625
203	966.1859130859375	1272.5440673828125
204	1015.5171508789062	1278.40576171875
205	1046.8385009765625	1284.8258056640625
206	1014.5513916015625	1291.6697998046875
207	1024.462158203125	1297.094970703125
208	976.5549926757812	1303.8134765625
209	906.8319091796875	1309.7734375
210	1020.6461791992188	1315.8182373046875
211	980.163330078125	1321.7447509765625
212	945.3162841796875	1329.026611328125
213	1012.3300170898438	1335.174560546875
214	1039.7017822265625	1341.2562255859375
215	1029.2249755859375	1347.4853515625
216	1070.8800048828125	1353.3369140625
217	1101.287841796875	1359.8167724609375
218	1103.4134521484375	1365.873779296875
219	1053.333251953125	1372.8292236328125
220	919.3917846679688	1378.408447265625
221	1018.0720825195312	1385.0423583984375
222	1065.350830078125	1390.7557373046875
223	1050.7177734375	1397.5494384765625
224	1028.9293212890625	1403.3665771484375
225	1095.18408203125	1409.6962890625
226	1072.8148193359375	1415.2562255859375
227	1049.8685302734375	1421.6651611328125
228	1065.08349609375	1428.81689453125
229	1131.962158203125	1435.3365478515625
230	1086.941162109375	1441.00927734375
231	1083.093994140625	1447.68017578125
232	1157.2296142578125	1454.082763671875
233	1114.21728515625	1460.22509765625
234	1121.64013671875	1466.328857421875
235	1147.4716796875	1472.3726806640625
236	1124.7911376953125	1478.745361328125
237	1066.20849609375	1485.0731201171875
238	1084.5001220703125	1490.4432373046875
239	1120.04052734375	1498.656982421875
240	1122.1744384765625	1503.447509765625
241	1118.001220703125	1509.4073486328125
242	1158.6597900390625	1515.86279296875
243	1132.3116455078125	1521.715576171875
244	1160.4498291015625	1527.9718017578125
245	1044.3463134765625	1534.69677734375
246	1130.86865234375	1540.080078125
247	1081.6103515625	1546.2198486328125
248	1071.6341552734375	1553.4127197265625
249	1149.6822509765625	1559.832275390625
250	1112.761474609375	1565.4298095703125
251	1133.179931640625	1571.7618408203125
252	1133.28857421875	1578.1981201171875
253	1063.5782470703125	1584.630615234375
254	1011.102783203125	1591.010986328125
255	1075.878173828125	1597.3480224609375
256	1211.5054931640625	1603.199951171875
257	1078.9674072265625	1608.635009765625
258	1176.614013671875	1615.4302978515625
259	1156.340576171875	1621.4189453125
260	1056.3597412109375	1628.60498046875
261	1092.8211669921875	1633.8837890625
262	1226.4071044921875	1640.070556640625
263	1071.66943359375	1646.795166015625
264	1174.8931884765625	1652.871337890625
265	1206.5816650390625	1659.707275390625
266	1064.98193359375	1666.237060546875
267	1076.292236328125	1671.8487548828125
268	1118.9114990234375	1677.5745849609375
269	1097.869873046875	1683.83740234375
270	1113.9747314453125	1690.9891357421875
271	1241.1650390625	1696.5966796875
272	1168.0174560546875	1703.0167236328125
273	1173.8814697265625	1708.97802734375
274	1219.7431640625	1715.208984375
275	1273.58056640625	1721.4759521484375
276	1171.3577880859375	1726.98046875
277	1136.947998046875	1733.850830078125
278	1264.7811279296875	1740.1805419921875
