	log_likelihood
516	58512.59375
517	58517.4921875
518	58519.13671875
519	58514.98828125
520	58515.60546875
521	58516.5390625
522	58518.61328125
523	58519.85546875
524	58519.6484375
525	58519.53125
526	58517.91796875
527	58516.3203125
528	58524.79296875
529	58519.60546875
530	58520.04296875
531	58517.14453125
532	58513.51953125
533	58512.90625
534	58515.67578125
535	58517.34375
536	58515.16796875
537	58521.0
538	58518.9296875
539	58517.9375
540	58516.76171875
541	58516.3125
542	58514.96875
543	58517.13671875
544	58517.6328125
545	58517.7734375
546	58518.64453125
547	58519.54296875
548	58519.2890625
549	58520.91796875
550	58516.23828125
551	58515.48828125
552	58517.98828125
553	58517.96875
554	58515.54296875
555	58520.75
556	58516.57421875
557	58513.8046875
558	58521.63671875
559	58520.0078125
560	58518.16796875
561	58518.625
562	58519.9453125
563	58529.46875
564	58521.85546875
565	58516.15625
566	58520.07421875
567	58519.1171875
568	58518.58203125
569	58516.125
570	58519.3828125
571	58515.9453125
572	58516.3359375
573	58514.2734375
574	58514.65625
575	58517.17578125
576	58516.60546875
577	58513.8046875
578	58514.7265625
579	58515.7734375
580	58515.45703125
581	58520.4765625
582	58517.1875
583	58516.2109375
584	58516.26953125
585	58517.08203125
586	58517.9609375
587	58517.70703125
588	58517.25
589	58521.40625
590	58513.9140625
591	58515.2109375
592	58517.76953125
593	58519.5078125
594	58516.40625
595	58518.375
596	58515.1640625
597	58513.6640625
598	58519.98828125
599	58518.14453125
600	58515.2578125
601	58520.29296875
602	58519.57421875
603	58516.5
604	58513.41796875
605	58521.39453125
606	58519.0078125
607	58518.75
608	58515.125
609	58513.78125
610	58515.9609375
611	58516.45703125
612	58518.4375
613	58519.6328125
614	58518.70703125
615	58519.73828125
616	58517.13671875
617	58517.5390625
618	58516.9765625
619	58517.1171875
620	58518.4140625
621	58519.01953125
622	58516.7734375
623	58519.8203125
624	58516.80078125
625	58518.2578125
626	58519.71875
627	58516.63671875
628	58518.95703125
629	58516.7265625
630	58517.76171875
631	58520.14453125
632	58519.46875
633	58515.96875
634	58518.10546875
635	58516.2890625
636	58517.5
637	58520.5625
638	58518.2109375
639	58517.1953125
640	58517.0625
641	58517.98046875
642	58517.98046875
643	58516.78125
644	58515.83203125
645	58516.6875
646	58518.9140625
647	58520.86328125
648	58517.5859375
649	58515.3125
650	58519.6640625
651	58520.28125
652	58519.21875
653	58515.40625
654	58518.80078125
655	58514.41796875
656	58516.3125
657	58518.54296875
658	58514.6015625
659	58516.07421875
660	58518.3515625
661	58515.9609375
662	58522.1484375
663	58515.76953125
664	58516.0390625
665	58519.41796875
666	58516.44921875
667	58520.71875
668	58521.76171875
669	58517.125
670	58516.25
671	58517.28125
672	58519.5078125
673	58517.875
674	58516.2734375
675	58517.32421875
676	58518.6640625
677	58525.3984375
678	58515.2109375
679	58516.86328125
680	58514.5390625
681	58515.3125
