	log_likelihood
644	-27.707294464111328
645	-26.4556827545166
646	-26.911575317382812
647	-23.096309661865234
648	-25.701807022094727
649	-27.405370712280273
650	-27.73910903930664
651	-27.5135555267334
652	-27.929553985595703
653	-28.391216278076172
654	-27.867557525634766
655	-27.894535064697266
656	-27.650897979736328
657	-26.865184783935547
658	-25.983896255493164
659	-26.63678550720215
660	-27.594274520874023
661	-27.450366973876953
662	-25.51901626586914
663	-26.473907470703125
664	-27.677001953125
665	-27.836795806884766
666	-27.44248390197754
667	-27.818893432617188
668	-27.767452239990234
669	-27.95437240600586
670	-27.809032440185547
671	-23.494081497192383
672	-26.667133331298828
673	-26.993261337280273
674	-22.8690185546875
675	-24.504478454589844
676	-26.561986923217773
677	-25.789770126342773
678	-27.026958465576172
679	-27.0452938079834
680	-24.034114837646484
681	-27.016857147216797
682	-27.043853759765625
683	-27.9044246673584
684	-26.980388641357422
685	-26.843280792236328
686	-25.62710952758789
687	-27.636760711669922
688	-27.0034236907959
689	-23.395511627197266
690	-25.25760841369629
691	-27.156448364257812
692	-23.91471290588379
693	-26.858978271484375
694	-26.48649024963379
695	-27.536489486694336
696	-26.283950805664062
697	-26.934534072875977
698	-26.935588836669922
699	-23.09202766418457
700	-26.842144012451172
701	-27.861968994140625
702	-25.7403621673584
703	-27.87577247619629
704	-26.25469398498535
705	-24.359237670898438
706	-27.946346282958984
707	-28.020465850830078
708	-26.981103897094727
709	-27.795639038085938
710	-26.993572235107422
711	-26.83481216430664
712	-27.728012084960938
713	-27.71651268005371
714	-24.85250473022461
715	-27.680028915405273
716	-27.57158851623535
717	-27.264598846435547
718	-25.136127471923828
719	-27.892221450805664
720	-26.96648597717285
721	-26.453149795532227
722	-26.702234268188477
723	-26.963958740234375
724	-26.81461524963379
725	-27.902135848999023
726	-26.968082427978516
727	-26.749420166015625
728	-25.0972957611084
729	-27.29606056213379
730	-27.7304630279541
731	-27.806751251220703
732	-28.122974395751953
733	-28.2289981842041
734	-26.9740047454834
735	-26.838109970092773
736	-26.896961212158203
737	-26.959854125976562
738	-27.582921981811523
739	-26.932373046875
740	-27.335067749023438
741	-25.127639770507812
742	-27.263484954833984
743	-27.557674407958984
744	-26.99313735961914
745	-27.82339859008789
746	-27.500539779663086
747	-26.84954833984375
748	-27.08538818359375
749	-27.47648048400879
750	-27.877323150634766
751	-27.536312103271484
752	-27.018747329711914
753	-27.51759910583496
754	-27.430288314819336
755	-26.89310073852539
756	-26.807430267333984
757	-27.77549171447754
758	-27.587337493896484
759	-27.904422760009766
760	-27.806676864624023
761	-27.882465362548828
762	-25.049610137939453
763	-26.837610244750977
764	-27.086246490478516
765	-27.979623794555664
766	-27.890274047851562
767	-26.912609100341797
768	-27.638347625732422
769	-28.929523468017578
770	-25.609943389892578
771	-27.674755096435547
772	-27.720666885375977
773	-26.943359375
774	-26.971294403076172
775	-26.9619083404541
776	-27.938648223876953
777	-26.258554458618164
778	-26.69736099243164
779	-24.83847999572754
780	-26.77459716796875
781	-26.4766902923584
782	-26.185962677001953
783	-27.75417137145996
784	-27.309391021728516
785	-27.97446632385254
786	-27.697433471679688
787	-27.20113754272461
788	-28.243478775024414
789	-27.034753799438477
790	-26.758792877197266
791	-26.882715225219727
792	-26.7690486907959
793	-28.01467514038086
794	-27.87368392944336
795	-27.929906845092773
796	-28.08169937133789
797	-27.70650291442871
798	-26.843969345092773
799	-26.79033851623535
800	-26.65262222290039
801	-28.071130752563477
802	-27.688213348388672
803	-27.853790283203125
804	-25.092533111572266
805	-26.887577056884766
806	-26.97812271118164
807	-28.098033905029297
808	-25.388324737548828
809	-26.24664306640625
810	-28.04884910583496
811	-27.165740966796875
812	-24.689800262451172
813	-26.7130069732666
814	-26.17757225036621
815	-24.918563842773438
816	-28.04974937438965
817	-24.25905990600586
818	-27.917797088623047
819	-27.706005096435547
820	-27.61362648010254
821	-27.880252838134766
822	-26.748510360717773
823	-27.850067138671875
824	-27.873239517211914
825	-25.693561553955078
826	-27.941295623779297
827	-27.930858612060547
828	-26.982219696044922
829	-27.89972496032715
830	-27.11577796936035
831	-28.059253692626953
832	-25.92074203491211
833	-27.457006454467773
834	-27.924413681030273
835	-25.428096771240234
836	-27.918621063232422
