,tsne_x,tsne_y
2,-11.901106834411621,24.91255760192871
1,27.089754104614258,-13.143031120300293
5,8.933502197265625,-10.584023475646973
4,-4.379136085510254,-26.516395568847656
0,-0.022185981273651123,25.77988624572754
7,-17.512956619262695,9.219095230102539
0,-7.485788345336914,24.658172607421875
1,26.10783576965332,-15.17691421508789
7,-17.23637580871582,8.884285926818848
1,25.19015884399414,-14.825910568237305
1,25.23724365234375,-14.929071426391602
5,20.46829605102539,-26.0730037689209
5,19.774240493774414,-24.706022262573242
4,-4.08052921295166,-25.907840728759766
5,7.31123685836792,-21.605091094970703
1,25.604663848876953,-15.237521171569824
1,25.32362174987793,-15.624226570129395
1,25.95767593383789,-13.722265243530273
0,1.7940430641174316,25.134389877319336
0,-2.7135424613952637,22.995901107788086
5,8.566064834594727,-9.965957641601562
5,-4.029075622558594,5.659433364868164
0,-7.622905731201172,23.87226104736328
4,-4.44057559967041,-25.1796817779541
1,23.41019630432129,-15.845330238342285
7,-17.104413986206055,9.60771656036377
5,20.533151626586914,-25.34327507019043
1,25.69590187072754,-14.357917785644531
2,-11.97968864440918,24.70792579650879
0,-7.207276344299316,24.5826358795166
1,22.462158203125,-16.168188095092773
5,8.439859390258789,-10.70895004272461
1,23.98709487915039,-15.24556827545166
2,-12.733877182006836,24.259462356567383
1,26.115123748779297,-14.486516952514648
5,8.105611801147461,-9.970149993896484
5,19.519895553588867,-25.699012756347656
5,8.827204704284668,-10.902510643005371
5,8.487523078918457,-10.180513381958008
5,21.276662826538086,-24.64292335510254
4,-4.192725658416748,-24.86952781677246
6,-2.1283657550811768,6.4931864738464355
1,24.93658447265625,-14.043149948120117
2,-12.692023277282715,24.19904136657715
5,20.02464485168457,-25.70968246459961
1,25.176998138427734,-14.099998474121094
0,1.7002537250518799,25.59178352355957
0,-3.773847818374634,23.21940040588379
5,7.155568599700928,-6.661654949188232
0,-8.07960033416748,23.197404861450195
5,7.13582181930542,-6.653636455535889
0,2.6978256702423096,24.892837524414062
2,-13.453805923461914,24.30245590209961
5,20.8089542388916,-24.912643432617188
5,19.664518356323242,-25.0501708984375
5,7.6788763999938965,-10.216951370239258
0,1.0706536769866943,24.842424392700195
5,19.36195945739746,-24.132104873657227
0,-7.345978736877441,23.903329849243164
5,19.12071418762207,-24.590360641479492
5,6.29807710647583,-21.68539047241211
1,23.645828247070312,-14.83608627319336
1,24.341243743896484,-15.48786735534668
0,0.8927401304244995,25.233800888061523
0,-0.6077237129211426,23.113595962524414
4,-5.844740867614746,-27.312152862548828
5,6.444863319396973,-20.94065284729004
5,18.877384185791016,-23.840084075927734
5,6.938422679901123,-20.725414276123047
4,-6.249377727508545,-26.925872802734375
