	z_coordinate_0	z_coordinate_1
317	0.6206656	5.8958225
318	-6.578194	-4.602648
319	2.276251	6.844763
320	4.4240212	3.0328233
321	5.0554786	-2.8981416
322	0.3240646	3.1916707
323	-3.3649745	5.548501
324	4.6880417	6.8082137
325	-6.376762	-4.307053
326	6.522771	2.8669562
327	6.1547427	-3.3300312
328	-0.88670707	-2.531385
329	4.5277905	-6.5417395
330	-2.972704	-2.2550435
331	-8.575378	-1.9309022
332	3.6985674	-2.9593308
333	2.6528063	2.9065373
334	7.065568	-4.271944
335	-2.9532065	3.7686915
336	5.2121935	2.5438075
337	-6.2415247	-4.0501924
338	1.4846934	-7.829339
339	1.1037918	4.7059484
340	-3.0092854	-5.904789
341	-5.750042	1.2861091
342	-6.7485557	2.5124233
343	-7.691521	0.6253232
344	0.99053437	-4.9200363
345	-3.0747151	0.6038872
346	4.661328	-4.387969
347	-5.1401916	-1.0748781
348	-6.023791	-0.61601925
349	-5.333478	5.619367
350	1.1241752	3.6575003
351	-0.8817625	-2.9750516
352	3.1877115	3.8499215
353	1.4837635	6.0573225
354	-7.253034	-4.193541
355	-1.0987526	3.010094
356	-2.0890296	-0.029120997
357	2.733759	-3.9362009
358	7.374023	2.530381
359	-5.828726	5.537372
360	3.929678	-3.2389984
361	7.0475163	-5.173959
362	6.4276915	-4.695772
363	5.080641	-1.449052
364	-3.5039325	6.4104443
365	1.6237652	2.8043177
366	-9.82185	-0.7250773
367	-3.7513762	0.5550401
368	2.165366	5.560322
369	8.199037	1.8013706
370	-1.6663388	-3.0529518
371	2.7753644	-2.2331703
372	5.7469287	-3.535054
373	-5.4490294	1.0930043
374	-4.1844606	7.2596436
375	-5.365298	7.965705
376	3.201215	4.19743
377	0.14760119	-7.523714
378	1.3261927	2.163781
379	3.550843	3.4149964
380	-8.780898	-2.3446927
381	-5.7108197	-5.730603
382	5.30852	2.7223814
383	-2.996315	3.810661
384	-2.4980383	0.24176838
385	1.3558455	4.67791
386	5.311528	-6.2087502
387	-3.7944746	6.2710443
388	1.4609439	-0.64708865
389	-6.102508	-5.0580773
390	0.023220591	-2.3912199
391	3.9585812	-2.2472463
392	-2.179655	0.22186765
393	-8.168984	-3.1657326
394	-9.573189	-0.23088458
395	1.2492956	3.998649
396	2.9317994	3.0599086
397	-2.3798563	-0.3645756
398	1.3328816	-3.8290598
399	-1.6176356	-3.2137446
400	-4.34817	7.4351883
401	1.0283685	7.9005733
402	5.305718	1.9012117
403	2.149211	-7.4031887
404	-1.9226164	-2.545095
405	-5.68136	4.691094
406	-3.702002	7.549631
407	-6.4426174	-3.8897822
408	3.0421772	2.755098
409	-2.2256975	7.870234
410	-7.027098	2.1477387
411	6.2016635	4.9989953
412	7.6986365	3.4777455
413	-2.6667767	-7.7796626
414	-5.013225	-2.8288872
415	-1.8959364	-0.63112414
416	2.2617636	-4.0056887
417	-3.927815	6.0631466
418	7.074394	-3.701383
419	-1.0599772	-1.8923776
420	-2.4191434	7.90822
421	2.6434364	-3.2106202
422	5.0797524	3.205825
423	3.7541685	2.5369637
424	-3.4877498	5.8476734
425	-4.1245165	7.37022
426	8.484948	1.666999
427	-6.889487	2.2849355
428	2.8901553	3.6011899
429	2.6975613	6.3090334
430	7.6660905	-5.1687865
431	-1.7432197	-2.5846183
432	-2.254882	-7.9698114
433	-3.3945599	-0.8177073
434	-1.3866256	-2.718547
435	5.2740726	5.272534
436	-7.441855	-3.4248884
437	-6.052322	-3.9078414
438	-4.557183	6.440709
439	3.1348786	2.166713
440	-1.7553359	0.12550971
441	3.2003708	4.1820774
442	2.9220228	-7.9064837
443	5.1853433	0.34170058
444	-2.691677	-0.7894484
445	2.9322495	-7.196405
446	-1.1579591	-1.1171429
447	-3.1156442	-0.10429445
448	-0.48076725	-4.321
449	0.21840009	-2.102275
450	-8.249857	-0.22271678
451	7.716472	5.042246
452	-5.7862773	4.958683
453	5.9324584	-2.7405453
454	-3.6365018	-5.2604
455	-2.66284	0.5229337
456	-8.272113	-3.041241
457	6.414398	-2.3127239
458	-5.33676	-3.1769493
459	0.72594523	-0.034491837
460	-6.3042474	-4.6355605
461	-5.0304255	-6.2221136
462	-3.7640152	-0.16388065
463	-3.3307922	-6.7553606
464	0.38985	0.028978415
465	3.8581927	2.8298397
466	-3.2530742	0.29803136
467	-5.4870315	-3.172644
468	8.338887	1.2549978
469	-2.135832	-6.418437
470	4.0785213	3.3274634
471	-0.23727742	-3.8412378
472	-2.0500789	-4.9515057
473	-1.1884906	-7.559851
474	-5.281074	-6.0214095
475	2.5207498	-4.5487022
476	-5.5245013	5.7258263
477	-2.329758	0.7854525
478	7.036605	3.068335
479	3.3593216	-4.0595226
480	0.3022117	-4.5232034
481	-2.2446241	0.03480558
482	-4.0812883	0.63603365
483	-8.532102	-2.479143
484	0.12751317	-0.87359524
485	5.607456	-6.430399
486	-4.413141	7.356801
487	5.799373	-3.281796
488	-2.884518	-1.0894473
489	1.313748	-3.8859088
490	-4.103671	-1.7906934
491	-6.9793057	-3.3463562
492	-8.528165	-2.6152987
493	-6.910319	-4.1344137
494	7.38722	-3.476693
495	-8.148189	1.0589033
496	1.4692692	-4.0000954
497	4.3388243	-4.490276
498	-5.9435167	-4.3714423
499	-5.0343966	-6.173083
500	2.7714713	2.6443655
501	-2.3709898	-4.8962946
502	-2.8819976	8.024696
503	1.9247136	5.674008
504	-0.5046201	-7.7388287
505	3.7842813	2.2470925
506	-2.5344963	4.3248143
507	1.146299	-4.5452976
508	5.5383854	2.4284537
509	-6.321477	-4.962635
510	-5.99593	-0.74359703
511	-3.9900422	7.757054
512	1.651889	5.063973
513	1.4206429	3.4836156
514	-8.33626	-2.916541
515	-3.0216875	-3.3354475
516	-0.47865224	-0.8526478
517	5.5346327	-6.398673
518	-2.7842612	5.0134172
519	-1.6659187	-7.484226
520	-4.8817096	1.2481334
521	-2.8014526	-0.84851205
522	0.43855226	0.38585013
523	-2.890058	5.070208
524	3.5739088	-6.376396
525	2.6761065	-2.5439384
526	7.037479	3.0687158
527	8.101296	2.8266866
528	-7.8202977	-3.8908103
529	4.24797	-1.2085569
530	-0.44591254	0.5560094
531	-1.9464024	-8.784172
532	1.6827035	-3.9944327
533	0.50882435	-3.2421024
534	-9.886819	-0.620011
535	-5.535764	-3.497082
536	-7.8144135	-3.3816597
537	-2.1628861	-4.745906
538	0.93380284	5.594492
539	7.126774	4.6148725
540	-8.1962805	-0.81874573
541	1.6519715	-3.6262076
542	-2.7661672	2.4659708
543	6.7828374	3.0397995
544	0.8828083	-0.59026444
545	-1.7666417	-8.633294
546	2.7858963	6.608021
547	-0.35880283	-0.22888651
548	2.6360574	7.0186157
549	2.1945033	-0.7421807
550	-1.9850761	0.27224386
551	1.7703012	2.0927591
552	1.2840677	-8.465217
553	-6.5177026	-4.840435
554	-1.2359413	-8.116122
555	2.7946646	-1.9492147
556	-6.9252915	2.1227574
557	4.430267	-3.2994816
558	-1.8551282	-3.294645
559	-4.7148595	7.633596
560	-3.4953752	-5.139292
561	2.662536	7.1746464
562	-4.3404393	-6.7314095
563	-6.2021155	0.8009683
564	-0.117690824	0.28848
565	0.41867527	-8.325131
566	0.5552877	0.97093475
567	-3.381021	5.7318897
568	0.9978198	3.3629744
569	0.98469985	-3.5466673
570	-4.291491	7.2428346
571	-6.9489155	1.76931
572	-1.1523405	-1.2793171
573	2.6487803	6.0612946
574	-2.9888954	0.60740614
575	2.5815635	7.0872035
576	2.539486	8.847609
577	3.7213154	-3.4301398
578	4.1177516	7.13068
579	4.5773044	4.259687
580	-1.5329777	0.03378409
581	1.8024186	2.6709116
582	-1.7809255	-3.9738977
583	0.5972403	-3.043183
584	-2.305501	-4.867016
585	1.5061934	2.4116461
586	1.7659968	2.297198
587	-2.2542324	5.232871
588	-2.97309	4.726106
589	1.778236	2.2481432
590	4.43914	3.5686734
591	5.8710523	4.2865047
592	5.5588584	-2.8170707
593	-0.054872327	0.61009884
594	-5.472341	-3.4714577
595	-4.47083	7.1733475
596	-9.979714	-0.4755145
597	-2.381669	0.36266035
598	1.8155518	5.275972
599	1.823598	2.6765175
600	-0.22165322	-0.91134834
601	-5.262998	1.1199795
602	-4.052166	-3.068442
603	4.769147	3.8147604
604	-5.5324097	1.0591322
605	1.5643086	5.768423
606	0.7471473	-4.35646
607	-6.9443707	0.00672552
608	-7.566357	-0.901096
609	7.6622453	2.5596268
610	-3.3885036	-5.3491673
611	-8.813025	-1.9368315
612	-8.44598	-0.9968909
613	-0.95424855	-2.7664135
614	0.69184864	2.5866833
615	2.7432415	5.916806
616	-5.434782	1.6444843
617	-6.4090343	-4.8805995
618	-7.569356	-2.5974126
