	log_likelihood
774	7.9932947
775	20.873188
776	16.802744
777	20.693357
778	18.120394
779	22.474293
780	21.561432
781	13.087122
782	17.609814
783	14.500958
784	21.304922
785	19.055332
786	16.481266
787	20.60031
788	12.558373
789	16.222744
790	19.15189
791	21.139318
792	15.651743
793	10.066824
794	17.619223
795	15.140622
796	7.672206
797	12.886273
798	13.411367
799	22.568647
800	18.562859
801	19.306446
802	14.147151
803	13.927691
804	12.420308
805	15.595386
806	11.034243
807	16.356016
808	15.756567
809	19.396053
810	18.112782
811	15.507555
812	18.11206
813	23.445072
814	15.296272
815	21.722763
816	19.792194
817	21.036428
818	16.794724
819	14.316518
820	21.660275
821	16.713692
822	18.47562
823	12.582318
824	23.936895
825	14.203166
826	15.730443
827	23.79459
828	22.419394
829	7.474473
830	18.859
831	17.039686
832	11.1114025
833	16.47994
834	11.992352
835	20.693851
836	15.446683
837	17.93365
838	24.040422
839	20.050098
840	17.743229
841	5.844912
842	14.006894
843	17.698236
844	17.95944
845	23.643566
846	7.358373
847	16.466595
848	17.921604
849	17.610392
850	23.157745
851	19.600775
852	16.934345
853	14.867975
854	19.259329
855	21.6453
856	20.60305
857	17.972614
858	11.048085
859	20.24538
860	23.401937
861	17.430225
862	16.000742
863	17.012396
864	16.395033
865	17.565525
866	18.756796
867	20.843237
868	15.247122
869	13.96266
870	18.819254
871	17.39084
872	18.626442
873	17.308815
874	22.572044
875	17.266071
876	20.183567
877	13.854999
878	15.501749
879	22.705896
880	22.048784
881	14.366114
882	15.55441
883	20.418344
884	19.462221
885	20.495123
886	18.0453
887	19.721474
888	23.108757
889	17.452703
890	23.807934
891	18.279976
892	22.07568
893	17.105846
894	20.958439
895	16.035053
896	12.556946
897	21.524466
898	10.019417
899	16.626049
900	19.4721
901	11.989643
902	13.436806
903	19.607864
904	23.198614
905	18.217175
906	21.29047
907	22.633718
908	12.706977
909	19.36675
910	15.437592
911	16.795618
912	13.596457
913	20.391565
914	18.370438
915	19.103952
916	19.370184
917	20.07517
918	13.453941
919	20.317791
920	15.043274
921	21.042168
922	21.025707
923	14.68014
924	17.878817
925	10.805418
926	2.913451
927	18.018803
928	16.349873
929	20.207853
930	19.512735
931	14.261114
932	17.4331
933	17.490139
934	22.323078
935	15.068247
936	24.096127
937	3.9391055
938	20.236383
939	17.516653
940	21.43843
941	21.610224
942	10.100695
943	21.94728
944	16.97009
945	5.9611006
946	20.272593
947	18.589481
948	6.7955885
949	20.63741
950	17.62713
951	20.86419
952	16.629587
953	11.548361
954	9.045496
955	15.755194
956	18.715609
957	12.600153
958	20.919498
959	23.261131
960	23.61549
961	17.872452
962	19.20534
963	20.840128
964	20.0864
965	13.59738
966	15.211105
967	16.329508
968	18.380848
969	15.416353
970	20.350246
971	9.485878
972	18.788635
973	10.352656
974	16.418657
975	12.840744
976	18.578003
977	13.974086
978	6.709241
979	18.33456
980	19.22259
981	9.130021
982	19.833282
983	23.286882
984	13.666217
985	15.616577
986	19.110424
987	21.729513
988	20.900043
989	18.057556
990	12.963293
991	21.540049
992	14.8874235
993	13.544568
994	16.059086
995	15.605782
996	17.857021
997	12.994509
998	21.50771
999	19.525196
1000	16.629023
1001	16.777561
1002	16.854708
1003	17.494024
1004	13.497847
1005	20.707397
1006	23.142069
1007	21.18189
1008	14.839172
1009	17.503265
1010	22.805088
1011	18.44661
1012	22.189001
1013	21.254906
1014	16.343914
1015	16.239075
1016	23.259546
1017	9.815899
1018	16.68913
1019	18.88517
1020	17.57017
1021	15.737375
1022	22.066061
1023	14.591311
1024	15.040866
1025	21.191168
1026	23.129177
1027	14.980064
1028	18.145742
1029	11.792304
1030	17.792326
1031	16.208185
1032	16.077768
1033	22.291859
1034	17.797552
1035	15.868662
1036	14.891889
1037	22.243774
1038	16.650936
1039	15.75518
1040	22.882269
1041	18.04697
1042	11.497037
1043	15.251028
1044	14.271605
1045	19.975546
1046	12.488992
1047	19.747372
1048	16.214506
1049	16.371288
1050	17.283974
1051	15.574068
1052	17.309599
1053	9.697769
1054	19.745474
1055	9.719693
1056	13.557831
1057	18.715214
1058	19.279034
1059	13.884628
1060	18.565365
1061	13.597728
1062	21.97938
1063	21.180384
1064	20.366772
1065	21.139673
1066	18.092278
1067	19.912373
1068	19.020082
1069	11.170355
1070	17.465048
1071	10.949822
1072	17.561863
1073	15.251752
1074	21.238499
1075	14.6250105
1076	20.473385
1077	17.202663
1078	16.656046
1079	10.964246
1080	16.470676
1081	11.167216
1082	15.472822
1083	19.560572
1084	19.173325
1085	20.047455
1086	14.98143
1087	12.848155
1088	19.051212
1089	20.410633
1090	18.998587
1091	17.137735
1092	17.025646
1093	22.656866
1094	23.310123
1095	22.56097
1096	17.992237
1097	15.638449
1098	19.984552
1099	6.137203
1100	19.835232
1101	13.072787
1102	18.205933
1103	16.09106
1104	19.361721
1105	20.891712
1106	11.314194
1107	23.248404
1108	16.996462
1109	22.463041
1110	18.18896
1111	11.862962
1112	19.897385
1113	20.072474
1114	13.492276
1115	23.496983
1116	16.263157
1117	15.577219
1118	16.867107
1119	16.036871
1120	16.51182
1121	18.388498
1122	18.969685
1123	19.687902
1124	13.200412
1125	19.187944
1126	15.0121155
1127	20.540459
1128	10.5898485
1129	19.617887
1130	16.826345
1131	16.896877
1132	21.252182
1133	23.409142
1134	19.682209
1135	14.765225
1136	14.765391
1137	20.936403
1138	19.69408
1139	16.639584
1140	19.715738
1141	18.890331
1142	15.426374
1143	22.950546
1144	11.808728
1145	18.244766
1146	12.692179
1147	22.194517
1148	8.846218
1149	17.753168
1150	19.241566
1151	14.426343
1152	20.732944
1153	18.475903
1154	15.461612
1155	12.372085
1156	18.989954
1157	12.52302
1158	16.061855
1159	18.911648
1160	14.859694
1161	12.824971
1162	12.430315
1163	-5.8892527
1164	13.621794
1165	13.379068
1166	17.959492
1167	16.881952
1168	20.18657
1169	16.14687
1170	17.322315
1171	14.224159
1172	-0.46676093
1173	12.861377
1174	17.195398
1175	16.922789
1176	21.760284
1177	16.062847
1178	19.050816
1179	19.183176
1180	17.650799
1181	21.51177
1182	14.453791
1183	17.798258
1184	13.920283
1185	13.725182
1186	19.486492
1187	16.251194
1188	4.1844196
1189	19.199062
1190	12.874232
1191	-1.6898069
1192	16.933132
1193	20.915777
1194	18.061132
1195	19.367243
1196	19.12668
1197	20.668535
1198	22.33837
1199	17.661686
1200	12.861771
1201	17.815292
1202	18.734177
1203	17.110012
1204	19.948574
1205	15.058268
1206	19.011194
1207	17.67973
1208	21.047888
1209	14.660998
1210	18.036081
1211	18.616734
1212	13.956698
1213	14.77889
1214	22.516777
1215	16.26613
1216	17.942354
1217	20.317188
1218	15.424596
1219	14.78081
1220	16.507372
1221	18.316242
1222	15.794867
1223	16.714006
1224	18.35001
1225	15.837749
1226	15.056729
1227	21.766874
1228	19.025509
1229	20.327646
1230	23.962748
1231	14.079272
1232	17.373022
1233	16.32955
1234	20.3888
1235	16.561203
1236	14.936839
1237	18.691673
1238	23.089703
1239	17.23798
1240	18.39093
1241	19.417534
1242	9.299958
1243	10.888166
1244	22.602585
1245	17.778782
