	z_coordinate_0	z_coordinate_1
79	3.5996327	5.6444573
80	-0.28761265	7.3461523
81	8.536366	2.903762
82	9.108495	2.6733837
83	-4.5280814	-8.497039
84	-5.0515223	-9.587902
85	2.5613558	5.819196
86	-5.7369523	7.2473235
87	-4.0857806	-8.226959
88	-4.5677104	6.9718547
89	-3.5922873	-9.611988
90	1.6812456	6.8204045
91	-1.0572027	7.9588795
92	2.7746546	5.8449883
93	-4.7468905	7.135653
94	-3.988983	6.3914824
95	-4.4680247	7.462776
96	4.507956	3.9107468
97	3.21918	-6.031176
98	-2.3985426	6.7544875
99	-7.9898305	-3.9391482
100	4.489445	4.2373853
101	-4.404419	-8.953563
102	4.717449	3.5601974
103	-7.8075795	-3.5039423
104	-7.5806394	-3.7681746
105	-5.2762427	6.446551
106	-5.1470523	7.711742
107	3.758595	5.6256537
108	-3.8253405	-9.036494
109	2.5383165	-7.890531
110	8.784884	2.5565662
111	-7.8357534	-3.9350827
112	7.6274247	-6.420362
113	8.867464	2.8156064
114	8.368326	2.2529318
115	0.58874315	6.9571443
116	-4.9870267	-9.186202
117	7.9453278	-7.080364
118	-7.1906095	-3.5593474
119	-4.708489	6.3897142
120	8.268699	2.263058
121	-1.6177337	7.2623987
122	-3.7091632	-9.128214
123	8.038265	2.1613798
124	-3.5474975	-8.855093
125	-3.4487975	-9.097998
126	2.0742993	-10.137839
127	1.814484	-9.209094
128	-6.911915	-4.0182676
129	2.8356187	-5.668202
130	-3.5411196	-8.823166
131	-3.5919192	-8.783958
132	-4.485193	-8.7248535
133	-5.180077	5.663736
134	-1.1181365	4.9725194
135	6.7271094	-6.286816
136	4.326101	2.4227855
137	-1.283143	6.789588
138	-6.473023	-3.3023965
139	-2.5603664	-8.1289425
140	8.553462	2.420401
141	1.949158	-9.844538
142	-3.775376	-8.8875885
143	0.6508201	6.7172356
144	-1.6938174	7.1602464
145	-2.3530524	-7.4069514
146	7.8914895	-6.522774
147	-2.960455	-8.060514
148	1.1029501	5.740419
149	-3.9197457	-8.99839
150	7.0877967	-6.0001884
151	1.7034178	-9.880854
152	7.6309667	-6.7257867
153	7.314284	-6.310129
154	1.4241518	-10.114014
155	-6.3165174	-3.2818716
156	3.8424125	3.210623
157	-3.8122098	-8.4628315
158	1.0300591	5.5930247
159	1.9056668	-9.79509
160	-3.6985188	-8.706058
161	-5.018492	5.6136374
162	-0.43891463	5.7302155
163	3.4439256	-4.7649884
164	0.3709701	5.778715
165	3.517911	-4.378056
166	-5.117961	5.029732
167	2.1684692	6.133515
168	1.7943845	-9.782965
169	1.7874275	-9.24166
170	6.949913	-5.7510676
171	-4.629145	5.6764617
172	1.5609521	-8.713852
173	-1.2156222	6.6705637
174	1.4626404	-9.103098
