	z_coordinate_0	z_coordinate_1
359	-1.8309622	-0.81888455
360	3.9660974	-2.3602622
361	1.5266064	-5.6211114
362	1.8424017	-2.3793314
363	-4.9968977	-6.164805
364	4.8025866	-1.9330449
365	2.5568676	-2.3701277
366	-5.7039585	-4.9557595
367	-1.8418121	-4.511803
368	0.5341028	-1.9710236
